País de nacimiento;Grupo quinquenal de edad;Sexo;Periodo;Total
Bélgica;Todas las edades;Total;1 de julio de 2023;53.956
Bélgica;Todas las edades;Total;1 de abril de 2023;53.871
Bélgica;Todas las edades;Total;1 de enero de 2023;53.460
Bélgica;Todas las edades;Total;1 de octubre de 2022;53.046
Bélgica;Todas las edades;Total;1 de julio de 2022;52.293
Bélgica;Todas las edades;Total;1 de abril de 2022;51.663
Bélgica;Todas las edades;Total;1 de enero de 2022;51.015
Bélgica;Todas las edades;Total;1 de octubre de 2021;50.414
Bélgica;Todas las edades;Total;1 de julio de 2021;49.519
Bélgica;Todas las edades;Total;1 de abril de 2021;48.601
Bélgica;Todas las edades;Total;1 de enero de 2021;48.138
Bélgica;Todas las edades;Total;1 de octubre de 2020;""
Bélgica;Todas las edades;Total;1 de julio de 2020;47.147
Bélgica;Todas las edades;Total;1 de abril de 2020;""
Bélgica;Todas las edades;Total;1 de enero de 2020;46.883
Bélgica;Todas las edades;Total;1 de octubre de 2019;""
Bélgica;Todas las edades;Total;1 de julio de 2019;46.146
Bélgica;Todas las edades;Total;1 de abril de 2019;""
Bélgica;Todas las edades;Total;1 de enero de 2019;45.355
Bélgica;Todas las edades;Total;1 de octubre de 2018;""
Bélgica;Todas las edades;Total;1 de julio de 2018;44.555
Bélgica;Todas las edades;Total;1 de abril de 2018;""
Bélgica;Todas las edades;Total;1 de enero de 2018;44.031
Bélgica;Todas las edades;Total;1 de octubre de 2017;""
Bélgica;Todas las edades;Total;1 de julio de 2017;43.360
Bélgica;Todas las edades;Total;1 de abril de 2017;""
Bélgica;Todas las edades;Total;1 de enero de 2017;42.929
Bélgica;Todas las edades;Total;1 de octubre de 2016;""
Bélgica;Todas las edades;Total;1 de julio de 2016;42.454
Bélgica;Todas las edades;Total;1 de abril de 2016;""
Bélgica;Todas las edades;Total;1 de enero de 2016;42.385
Bélgica;Todas las edades;Total;1 de octubre de 2015;""
Bélgica;Todas las edades;Total;1 de julio de 2015;41.967
Bélgica;Todas las edades;Total;1 de abril de 2015;""
Bélgica;Todas las edades;Total;1 de enero de 2015;41.952
Bélgica;Todas las edades;Total;1 de octubre de 2014;""
Bélgica;Todas las edades;Total;1 de julio de 2014;42.111
